 time            v(NIN)          v(NSKOUT)      
 1.94816341e-04 -2.87620440e+00  4.50128009e-01 
 1.95316341e-04 -3.06289429e+00  4.49393492e-01 
 1.95816341e-04 -3.24764958e+00  4.48408284e-01 
 1.96316341e-04 -3.43035359e+00  4.47172802e-01 
 1.96816341e-04 -3.61089092e+00  4.45687626e-01 
 1.97316341e-04 -3.78914753e+00  4.43953492e-01 
 1.97816341e-04 -3.96501083e+00  4.41971296e-01 
 1.98316341e-04 -4.13836975e+00  4.39742092e-01 
 1.98816341e-04 -4.30911478e+00  4.37267091e-01 
 1.99316341e-04 -4.47713809e+00  4.34547660e-01 
 1.99816341e-04 -4.64233353e+00  4.31585321e-01 
 2.00316341e-04 -4.80459679e+00  4.28381753e-01 
 2.00816341e-04 -4.96382535e+00  4.24938786e-01 
 2.01316341e-04 -5.11991866e+00  4.21258405e-01 
 2.01816341e-04 -5.27277811e+00  4.17342743e-01 
 2.02316341e-04 -5.42230717e+00  4.13194084e-01 
 2.02816341e-04 -5.56841138e+00  4.08814863e-01 
 2.03316341e-04 -5.71099846e+00  4.04207657e-01 
 2.03816341e-04 -5.84997835e+00  3.99375191e-01 
 2.04316341e-04 -5.98526328e+00  3.94320334e-01 
 2.04816341e-04 -6.11676778e+00  3.89046094e-01 
 2.05316341e-04 -6.24440880e+00  3.83555622e-01 
 2.05816341e-04 -6.36810572e+00  3.77852203e-01 
 2.06316341e-04 -6.48778040e+00  3.71939261e-01 
 2.06816341e-04 -6.60335726e+00  3.65820350e-01 
 2.07316341e-04 -6.71476331e+00  3.59499159e-01 
 2.07816341e-04 -6.82192816e+00  3.52979502e-01 
 2.08316341e-04 -6.92478414e+00  3.46265322e-01 
 2.08816341e-04 -7.02326627e+00  3.39360685e-01 
 2.09316341e-04 -7.11731236e+00  3.32269778e-01 
 2.09816341e-04 -7.20686301e+00  3.24996908e-01 
 2.10316341e-04 -7.29186164e+00  3.17546496e-01 
 2.10816341e-04 -7.37225458e+00  3.09923078e-01 
 2.11316341e-04 -7.44799104e+00  3.02131298e-01 
 2.11816341e-04 -7.51902319e+00  2.94175910e-01 
 2.12316341e-04 -7.58530617e+00  2.86061770e-01 
 2.12816341e-04 -7.64679811e+00  2.77793837e-01 
 2.13316341e-04 -7.70346016e+00  2.69377167e-01 
 2.13816341e-04 -7.75525654e+00  2.60816912e-01 
 2.14316341e-04 -7.80215454e+00  2.52118313e-01 
 2.14816341e-04 -7.84412453e+00  2.43286703e-01 
 2.15316341e-04 -7.88114000e+00  2.34327498e-01 
 2.15816341e-04 -7.91317757e+00  2.25246194e-01 
 2.16316341e-04 -7.94021701e+00  2.16048369e-01 
 2.16816341e-04 -7.96224124e+00  2.06739671e-01 
 2.17316341e-04 -7.97923635e+00  1.97325824e-01 
 2.17816341e-04 -7.99119160e+00  1.87812614e-01 
 2.18316341e-04 -7.99809945e+00  1.78205895e-01 
 2.18816341e-04 -7.99995552e+00  1.68511578e-01 
 2.19316341e-04 -7.99675865e+00  1.58735634e-01 
 2.19816341e-04 -7.98851085e+00  1.48884082e-01 
 2.20316341e-04 -7.97521735e+00  1.38962993e-01 
 2.20816341e-04 -7.95688652e+00  1.28978482e-01 
 2.21316341e-04 -7.93352995e+00  1.18936704e-01 
 2.21816341e-04 -7.90516239e+00  1.08843853e-01 
 2.22316341e-04 -7.87180177e+00  9.87061548e-02 
 2.22816341e-04 -7.83346914e+00  8.85298657e-02 
 2.23316341e-04 -7.79018873e+00  7.83212664e-02 
 2.23816341e-04 -7.74198787e+00  6.80866594e-02 
 2.24316341e-04 -7.68889700e+00  5.78323646e-02 
 2.24816341e-04 -7.63094967e+00  4.75647153e-02 
 2.25316341e-04 -7.56818246e+00  3.72900542e-02 
 2.25816341e-04 -7.50063502e+00  2.70147293e-02 
 2.26316341e-04 -7.42835002e+00  1.67450901e-02 
 2.26816341e-04 -7.35137312e+00  6.48748351e-03 
 2.27316341e-04 -7.26975293e+00 -3.75175043e-03 
 2.27816341e-04 -7.18354101e+00 -1.39662822e-02 
 2.28316341e-04 -7.09279181e+00 -2.41497972e-02 
 2.28816341e-04 -6.99756265e+00 -3.42959991e-02 
 2.29316341e-04 -6.89791368e+00 -4.43986148e-02 
 2.29816341e-04 -6.79390784e+00 -5.44513974e-02 
